id,Title,Cities
8670,Glendor Towns,Burlington
8360,Link 2 Condo and Loft,Burlington
8276,Martha James Condominiums,Burlington
29909,Millcroft Grove Homes,Burlington
8235,Millcroft Towns,Burlington
8150,Nautique Lakefront Residences,Burlington
6833,Northshore Condos,Burlington
7984,Parkview Lakefront Residences,Burlington
7884,Realm Condos,Burlington
7651,Station West Towns,Burlington
7044,Valera Condos,Burlington
59849,Calabogie Peaks Condos,Calabogie
9270,Avant Urban Towns,Caledon
9150,Briarfields Homes,Caledon
9114,Caledon Club,Caledon
9112,Caledon Towns,Caledon
61052,Castles of Caledon Homes,Caledon
8842,Ellis Lane Homes,Caledon
33693,Highlands Caledon East Homes,Caledon
25320,Livello Towns,Caledon
8266,Mayfield Collection Towns,Caledon
6688,Mayfield Village Towns,Caledon
7977,Pathways Caledon East,Caledon
6742,The Social Urban Towns,Caledon
61612,Upper Caledon East Homes,Caledon
7072,Upper Valleylands,Caledon
56917,Beautiful Freehold Townhome Assignment for Sale in Caledonia,Caledonia
8832,Empire Avalon,Caledonia
7662,St. Clair Village Towns,Caledonia
9380,Aberdeen Towns,CALGARY
6634,Autumn at University District Condos,CALGARY
9249,Bankview 1914 Condos,CALGARY
34482,Belvedere Rise Condos,CALGARY
6849,Briarfield Towns,CALGARY
9126,BTYYC Condos,CALGARY
29275,Carrington Street Towns,CALGARY
9086,Cavallo Condos at Cityscape,CALGARY
6843,Chelsea Chestermere,CALGARY
57278,Clover in Carrington Condos,CALGARY
6619,CornerView Townhomes,CALGARY
6845,Crimson Ridge,CALGARY
6724,East Hills Crossing,CALGARY
8802,Era Condos Calgary,CALGARY
6851,First and Park Condos,CALGARY
8717,Frontier Kensington Condos,CALGARY
8705,Gallery Condos,CALGARY
8618,Harlow Wolf Willow Condos,CALGARY
6821,Hazelwood Condos,CALGARY
6811,Horizon Condos,CALGARY
8532,Huxley Towns,CALGARY
6763,Imperia Condos,CALGARY
28473,Legacy Park Encore Condos,CALGARY
8378,Legends of Cornerstone,CALGARY
51420,Lincoln Tower Condos,CALGARY
8350,Lockwood Chelsea Condos & Towns,CALGARY
8274,Maverick at Livingston Condos,CALGARY
8252,Metroside Condos,CALGARY
29887,MYNE Condos,CALGARY
33227,Novella 2 Townhomes,CALGARY
8097,NUDE Condos,CALGARY
7990,Park South Condos 2,CALGARY
7942,Plaza West District Condos,CALGARY
6679,Quesnay at Currie Condos,CALGARY
6847,Rangeview Street Towns,CALGARY
7780,Sandgate Condos,CALGARY
30836,Seton 116 Townhouse,CALGARY
7723,Skyview North Condos,CALGARY
7707,SOLA in Calgary,CALGARY
7679,Sovereign Condos,CALGARY
7568,The Annex Condos,CALGARY
7566,The Arthur Condos,CALGARY
7517,The Castello in Cornerbrook Condos,CALGARY
7436,The Gateway Condos,CALGARY
7356,The Mondrian Condos,CALGARY
7270,The Theodore Condos,CALGARY
7024,Vertos Towns,CALGARY
6841,Walden,CALGARY
55661,Yorkville Homes,CALGARY
9190,Black Walnut Urban Town,Cambridge
8991,Creekside Trail Towns,Cambridge
8646,Grand River Woods,Cambridge
8608,Hazel Glenn Towns,Cambridge
48054,Moffat Creek Townhomes,Cambridge
7687,Southpoint Homes,Cambridge
7551,The Birches Towns,Cambridge
7440,The Gaslight District,Cambridge
55815,The Marquis Collection Towns,Cambridge
7048,URBN CAMBRIDGE CONDOS and TOWNS,Cambridge
6809,Westwood Village Homes,Cambridge
6644,Westwood Village Preserve Homes,Cambridge
6853,Zen Towns,Cambridge
6681,Bromley Gardens Homes,Catharines
6795,Lot 16 Towns,Catharines>Catharines
8584,High Valley Estates Homes,Cayuga
42629,Elora Mill Condominiums,Centre Wellington
7621,Sunnidale Homes,Clearview
9031,Cobie Towns,Cobourg
9029,Cobourg Trails,Cobourg
56859,Collingwood Quay Condos,Collingwood
8520,Indigo Estates Collingwood,Collingwood
8201,Monaco Condos,Collingwood
7804,Royal Windsor at Balmoral Village,Collingwood
7625,Summit View,Collingwood
7240,The View at Blue Fairway,Collingwood
53442,Courtice Glen Homes,Courtice
6706,Meadow Towns,Courtice
6675,The Vale Towns,Courtice
53323,The Willows Homes,Courtice
60250,Creemore Condos,Creemore
7531,The Brix,Creemore
7529,The Brix Condos 2,Creemore
8562,Hillsborough Homes,East Gwillimbury
8554,Hometown Hillsdale,Elmvale
6720,FIELDSTONE TOWNS,Elora
8800,Erin Glen,Erin
35666,Heartland Homes,Essa
9754,1048 Islington Avenue Condos,Etobicoke
9676,2 The East Mall Crescent Condos,Etobicoke
9575,351 Royal York Road Condos,Etobicoke
9551,4195 Dundas Street West Condos,Etobicoke
9523,4HUNDRED EAST MALL Stacked Town Homes,Etobicoke
23940,Arcadia District Condos,Etobicoke
9178,Bloor Promenade Condos,Etobicoke
9084,CAVO Condos,Etobicoke
8881,Eau Du Soleil,Etobicoke
8877,Edenbridge Kingsway Condos,Etobicoke
8812,Empire Phoenix Phase 2 Condo,Etobicoke
8788,EVERMORE AT WEST VILLAGE CONDOS,Etobicoke
8676,Glen Agar,Etobicoke
8417,Lakeshore Village,Etobicoke
8111,Notting Hill Condos,Etobicoke
7988,Park Terraces at Valhalla Town,Etobicoke
7876,Reina Condos,Etobicoke
7856,Richview Square Condos,Etobicoke
7653,Station Square + Park Lawn Gardens,Etobicoke
7525,The Buckingham at Grand Central Mimico Condos,Etobicoke
7394,The Kip District Phase 2,Etobicoke
7040,Valhalla South Tower,Etobicoke
7038,Valhalla Town Square Condos,Etobicoke
7028,Verge Condos,Etobicoke
7026,Verge Condos 2,Etobicoke
7002,Vita 2 On the lake,Etobicoke
6964,West Six,Etobicoke
6954,Westerly Condos,Etobicoke
6952,Westerly Condos 2,Etobicoke
25351,Westshore at Long Branch Towns,Etobicoke
6801,Kipling Station Condos,Etobicoke|Toronto
61924,Belwood Estates,Fergus
7641,Storybrook,Fergus
6617,Sunrise Grove Towns,Fergus
6642,Alliston Woods Homes,Fort Erie
37588,Peace Bridge Village Homes,Fort Erie
9549,42 Mill Street Condos,GeorgeTown
8696,Garden View Towns,GeorgeTown
8264,McGibbon on Main,GeorgeTown
7507,The Chase,GeorgeTown
7364,The Mill Landing Condos,GeorgeTown
6777,Georgina Heights Homes,Georgina
7737,Simcoe Landing,Georgina
7735,Simcoe Landing Towns,Georgina
6910,Woodbury Trails,Georgina
30520,Huron Haven Village Homes,Goderich
8083,Oakridge Green Towns,Gormley
8170,Muskoka Bay Resort,Gravenhurst
9066,Century Condos,Grimsby
8071,Odyssey Condominiums,Grimsby
37843,Alister Towns at Solterra,Guelph
55892,Argyle Village Towns,Guelph
9211,Beechwood Collection,Guelph
8938,Deerpath Towns,Guelph
8700,Gallery Towns,Guelph
6718,Marquis Modern Towns,Guelph
38071,Northside Towns,Guelph
7878,Reign Condo,Guelph
7703,Solterra Towns,Guelph
7697,Sora at the Glade Towns,Guelph
7496,The Copper Club at The Metalworks,Guelph
7432,The Glade Towns,Guelph
7366,The Metalworks,Guelph
6966,West Peak Condos,Guelph
9349,Anchor Woods Homes,Gwillimbury
8997,Creekside at Sharon Village,Gwillimbury
8552,Hometown Sharon Village,Gwillimbury
7464,The Enclave at Sharon Village Towns,Gwillimbury
8824,Empire Livingston,Hagersville
7167,Trailside,Haldimand
58296,Juniper Gate Homes,Halton Hills
7171,Trafalgar Meadows Towns,Halton Hills
9769,1 Jarvis Street Condos,Hamilton
6755,1107 Main Condos,Hamilton
9459,75 James Condos,Hamilton
9339,APEX Condominiums,Hamilton
9215,Beasley Park Condos,Hamilton
9198,Binbrook Heights,Hamilton
55755,Cachet Binbrook Homes,Hamilton
9090,Casa Di Torre,Hamilton
8660,Gore Park Lofts,Hamilton
8654,Grand Bell 2,Hamilton
8620,HarbourLife Condos,Hamilton
8598,Heritage Gate,Hamilton
6807,Heritage Gate Towns,Hamilton
8592,HG Condos,Hamilton
8433,Kiwi Condo,Hamilton
8356,LJM Landing Condos,Hamilton
8354,LJM Queenston Condos,Hamilton
8352,LJM Tower,Hamilton
58087,Luma Urban Towns at Kaleidoscope,Hamilton
8258,Meadowlands of Ancaster,Hamilton
9118,Mount Hope Towns,Hamilton
8174,Muse Condos,Hamilton
8053,On The Ridge Towns,Hamilton
41078,Pier 8 Condos,Hamilton
7894,Radio Arts Condos,Hamilton
7880,Redhill Towns,Hamilton
7595,Television City Condos,Hamilton
7593,Television City Condos 2,Hamilton
7574,The 77 Condos,Hamilton
7539,The Boutique Collection at Trend Living,Hamilton
7478,The Design District Condos,Hamilton
6621,The Rebecca Condos,Hamilton
7262,The Towns at Sapphire,Hamilton
7155,Trend Living Condo,Hamilton
6982,Waterfront Shores,Hamilton
6948,Westgate on Main Condos,Hamilton
48619,Crescent Bay Condos,Huntsville
8940,Deerhurst Lakeside Lodge,Huntsville
8410,Lakeside Muskoka,Huntsville
37925,Muskoka Forest Homes,Huntsville
8115,Northern Lights Muskoka,Huntsville
7157,Treetops at Hidden Valley,Huntsville
8680,Gilford Estates Homes,INNISFIL
32465,Lakehaven Homes,INNISFIL
59592,Lakewynds Towns,INNISFIL
61479,Simcoe Woods Homes,INNISFIL
7619,Sunseeker Condos at Friday Harbour,INNISFIL
7492,The Cove at Belle Aire Shores,INNISFIL
7234,The Villages of Killarney Beach,INNISFIL
6856,Zancor Cookstown,INNISFIL
31193,Grace and Grand Towns,Kawartha Lakes
6827,Iris Grove Towns,Kawartha Lakes
6686,Eversley Estates Homes,King City
33928,Fifth Avenue Homes King City,King City
6648,King Heights Residences,King City
8453,King Terraces Condos,King City
7310,The Residences of Spring Hill,King City
7143,Triple Crown Estates,King City
8981,Crown Condos,Kingstone
8338,Loyalist Country Club,Kingstone
7792,Sage Kingston Condos,Kingstone
7790,Sage Prestige Condos,Kingstone
6837,The District on Gardiners Condos,Kingstone
9245,Barra on Queen,Kitchener
8973,DANIELS CITY CENTRE CONDOS,Kitchener
8920,Doon West Towns,Kitchener
8912,DTK Commercial,Kitchener
8910,DTK Condos,Kitchener
8902,DUO at Station Park Condos,Kitchener
8860,Elevate Condos,Kitchener
38072,Harvest Park Homes,Kitchener
8538,Huron Village,Kitchener
8536,Huron Woods,Kitchener
8534,Hush Flats,Kitchener
58271,NOMI Urban Towns,Kitchener
8021,Otis in the Park,Kitchener
26930,Pioneer Park Towns,Kitchener
7916,Q Condos,Kitchener
7597,TEK Tower Kitchener,Kitchener
7533,The Bright Building,Kitchener
7456,The Flats at Rainbow Lake,Kitchener
7137,Trussler West Homes,Kitchener
7050,Urban Woods,Kitchener
7030,Verde Living Condos,Kitchener
6998,Viva Towns,Kitchener
6988,Wallaceton Homes,Kitchener
6986,Wallaceton Towns,Kitchener
25348,Williamsburg Green Homes,Kitchener
6896,Wynstone and Hillcrest at Lackner Ridge,Kitchener
6860,Young Condos,Kitchener
55976,Benchmark Towns at Vista Ridge,Lincoln
8358,LJM Harbourfront Condominium,Lincoln
7004,Vista Ridge Towns,Lincoln
36876,Woodview On Vista Ridge Homes,Lincoln
8764,Fenelon Lakes Club,Lindsay
6702,Hygge Towns,Lindsay
8186,Morningside Trail Towns,Lindsay
7627,Sugarwood Towns,Lindsay
25820,Aria Towns,London
7709,Society Condo Residences,London
7672,Springbank Lux,London
29865,Centre Point South Towns,Markdale
6771,46 on Main Condos,Markham
9448,8 Cedarland Condos,Markham
9345,Angus Glen South Village Homes,Markham
9098,Canvas on the Rouge Condos,Markham
9088,CATHEDRAL TOWN,Markham
9009,Cornell Rouge Towns,Markham
8790,EverHome Markham,Markham
8702,Gallery Towers,Markham
6767,Highgrove Homes,Markham
8574,Highmount Condos,Markham
8502,Jade Garden at Cornell,Markham
8491,Joy Station Condos,Markham
31451,Joy Station Towns,Markham
8477,Kennedy Manor Townhomes,Markham
8298,Margo Condo,Markham
51398,Markham Central Square Commercial,Markham
8292,Markham Estates,Markham
8290,Markham GOLD Towns,Markham
8288,Markham Mills Towns,Markham
8286,Markham Square Condos,Markham
8237,Mill Street Towns,Markham
8223,Minu Towns,Markham
8156,Nao Towns,Markham
8059,On The Mark,Markham
8057,On The Mark Towns- Phase 2,Markham
30104,Orchid Square Towns,Markham
8033,Origin Lofts,Markham
8019,Otto 101,Markham
8014,Panda Markham Condos,Markham
37705,Park & Main Towns,Markham
7975,Pavilia Park Towns,Markham
7973,Pavilia Towers Condominiums,Markham
6775,QUI Modern Towns,Markham
7868,Retail Condos at The Vanguard,Markham
7826,Riverview Condos,Markham
7810,Royal Bayview Condos,Markham
28721,Royal Victoria Towns,Markham
7717,Smart Towns,Markham
7695,South Cornell Towns,Markham
7670,Springwater Markham,Markham
6700,Terrace Park Towns,Markham
7576,The 6th Angus Glen,Markham
7500,The Condominiums of Cornell,Markham
7416,The Hart Haus Condominiums,Markham
7372,The Markdale Towns,Markham
7250,The Unionville Condos,Markham
7244,THE VANGUARD,Markham
7153,Trendi Towns,Markham
7111,Union Village,Markham
7109,Union Village Towns 2,Markham
7107,UnionCity Condos,Markham
7105,Unionglen Towns,Markham
61557,Unionville Homes Upper East Side,Markham
7074,Upper Unionville,Markham
7036,Valleymede Towers,Markham
8686,Georgian Bay Harbour Condos,Meaford
8684,Georgian Bay Terrace,Meaford
9237,Bay Port Resort,Midland
9706,16 Mile Creek,Milton
9310,Art on Main,Milton
9021,Connectt Condos 2,Milton
9019,Connectt Milton Modern Living,Milton
8995,Creekside Condos,Milton
23913,Hawthorne East Village Homes,Milton
8610,Hawthorne South Village,Milton
8495,Jasper Village Towns,Milton
8479,Kennedy Circle Condos,Milton
8241,Mile and Creek Condos,Milton
42519,Mile and Creek Condos 3,Milton
30745,Milton Village Homes,Milton
8168,MV1 Condos,Milton
8012,Panorama Towns,Milton
7798,Saddle Ridge Towns,Milton
7705,Soleil Condos,Milton
32082,Soleil Homes,Milton
31603,Stationside Condos,Milton
7490,The Crawford Urban Towns,Milton
56518,Thompson Towers 2,Milton
9674,20\/Twenty Towns,Mississauga
9396,91 Eglinton Ave East Condos,Mississauga
9378,Above Condos,Mississauga
9363,Alba Condos,Mississauga
9353,AMBER AT PINNACLE UPTOWN,Mississauga
9335,Applewood Towns,Mississauga
9326,Aquanova Condos,Mississauga
9320,Aquazul Condos Phase 2,Mississauga
9318,Arc Condominiums,Mississauga
9306,Arte Residences,Mississauga
9304,Artform Condos,Mississauga
9302,Artisan Towns,Mississauga
9265,Avia Condos 2,Mississauga
9263,Avia Condos Parkside Village,Mississauga
6761,Bridge House at Brightwater Condos,Mississauga
9144,Brightwater Condos and Towns,Mississauga
9102,Canopy Towers,Mississauga
25318,Canopy Towers 2,Mississauga
9049,Cherry Lane Towns,Mississauga
8987,Crestview Manors,Mississauga
8934,Dellwood Park Townhome,Mississauga
8873,Edge Tower 2,Mississauga
8871,Edge Towers Condos,Mississauga
8848,Elle Condo,Mississauga
8838,Elmwood Towns,Mississauga
6829,Emerson House Condos,Mississauga
6829,Emerson House Condos,Mississauga
8792,EV Royale condo,Mississauga
8784,Exchange District Condo,Mississauga
8782,Exchange District Condos 2,Mississauga
8780,Exchange District Condos 3,Mississauga
8778,Exchange Signature Residences,Mississauga
26814,Exhale Condos,Mississauga
8690,GEMMA Condos,Mississauga
8642,Grande Mirage,Mississauga
8406,Harbourwalk at Lakeview Village Condos,Mississauga
50050,High Line Condos,Mississauga
30767,Highgrove II Towns,Mississauga
8471,Keystone Condos,Mississauga
8469,Keystone Condos Phase 2,Mississauga
8467,Kindred Condominiums,Mississauga
6749,Kith Condos,Mississauga
8408,Lakeview DXE Club,Mississauga
8334,M City Condos,Mississauga
8332,M City Condos 3,Mississauga
8330,M City Condos Phase 2,Mississauga
8318,M4 Condos,Mississauga
8316,M5 Condos,Mississauga
6650,M6 Condos,Mississauga
8233,Mills Square Condos,Mississauga
8219,MISSISSAUGA SQUARE,Mississauga
8211,Mod Townes,Mississauga
8166,MW Condos,Mississauga
8136,NOLA Condos & Towns,Mississauga
8025,Oro at Edge Towers,Mississauga
8006,Parc Town,Mississauga
7966,Perla Towers Pinnacle Uptown,Mississauga
7900,Queensway East,Mississauga
7886,Ravines on Main,Mississauga
7870,Residences of Gordon Woods Condos,Mississauga
7852,Rise at Stride Condos,Mississauga
7800,S2 Stonebrook Condo,Mississauga
7753,Seven Sixty Lakeview Terrace,Mississauga
29907,Southlands Condos at Exchange District,Mississauga
7637,Streetsville Centre,Mississauga
7635,Stride Condos & Towns,Mississauga
7605,Tanu Condos,Mississauga
7506,The Clarkson Urban Towns,Mississauga
7370,The Mason At Brightwater,Mississauga
7350,The Nine Towns,Mississauga
7322,The Ravine Estates,Mississauga
7278,The Summit Collection Phase III,Mississauga
29900,The Way Commercial,Mississauga
7226,The Way Urban Towns,Mississauga
7224,The Way Urban Towns Phase 2,Mississauga
7219,The Wesley Tower,Mississauga
7135,Tuxedo Park Towns,Mississauga
7034,Vellore Crescent Towns,Mississauga
6994,VOYA Condos,Mississauga
6992,Voya Condos 2,Mississauga
6962,West Village Port Credit Condos,Mississauga
6938,Westport Condos,Mississauga
6928,Whitehorn Woods Towns,Mississauga
9767,1 Square Phillips Condos,Montreal
9481,628 Saint-Jacques Condos,Montreal
9078,CentraCondos 1000 rue de la Montagne,Montreal
6813,Grace Condos,Montreal
8388,Le Sherbrooke Condos,Montreal
8308,Mansfield Condos,Montreal
7896,Quinzecent Condos,Montreal
7184,Tour des Canadiens 3,Montreal
7018,Victoria Sur Le Parc,Montreal
6858,YUL Condos,Montreal
8682,Gibbard District,Napanee
28719,Riverbend Brownstones Towns,New Hamburg
6781,Honey Hill Homes,New Tecumseth
9209,Belmont Towns,Newcastle
8879,Eden Park Clarington,Newcastle
6698,Gracefields Redux 3,Newcastle
7938,Port of Newcastle Harbourview Condos,Newcastle
9312,Aria Homes,NewMarket
8850,Elia Collection Towns,NewMarket
8798,ESPRIT Newmarket,NewMarket
8668,Glenway Urban Towns,NewMarket
8459,King George School Lofts & Town Homes,NewMarket
8443,Kingsley Square 2,NewMarket
8441,Kingsley Square Condos,NewMarket
7580,The 11 on Charles Towns,NewMarket
7484,The Davis Condos,NewMarket
8826,Empire Imagine,Niagara Falls
29861,Joy Towns Niagara,Niagara Falls
8302,Marbella Condominium,Niagara Falls
8300,Marbella Condos Phase 2,Niagara Falls
8103,Novel Stacked Townhomes,Niagara Falls
28723,Parkside39 Towns,Niagara Falls
7824,Riverwalk Niagara Falls,Niagara Falls
7820,Rolling Meadows,Niagara Falls
7719,Smart Townes 3,Niagara Falls
7675,Splendour Towns,Niagara Falls
7284,The Stanley District,Niagara Falls
7282,The Stanley District Tower,Niagara Falls
7070,Upper Vista Condos,Niagara Falls
59810,Zebra Condos,Niagara Falls
7494,The Corners of John and Victoria,Niagara-on-the-Lake
6747,Vineyard Square Towns,Niagara-on-the-Lake
8419,Lakeshore Pointe Condos,North Bay
9765,1 York Gate Boulevard Condos,North York
9708,1580 Avenue Road Retails,North York
9698,1670 Avenue Road Condos,North York
9690,181 East Condos,North York
9630,2500 Don Mills Road Condos,North York
9624,26 Greenbriar Road Condos,North York
9596,31 Finch Avenue East Condo,North York
9501,53 Sheppard Avenue West Condos,North York
29821,6080 Yonge Condos,North York
9467,7 Rochefort Drive Condos,North York
29818,95 Corporate Centre,North York
9372,Addington Park Condos,North York
9261,Avro Condominiums,North York
9219,Beacon Condos,North York
9168,Bogert Condos,North York
9116,Cactus and Steeles Condos,North York
58304,Club 285 Condos,North York
8916,Downsview Park Towns,North York
33917,E11even Altamont Towns,North York
8776,Express 2 Condos,North York
8766,Fairview Mall Redevelopment,North York
8672,Glen Hill Condos,North York
8634,Greenwich Village,North York
8600,Hendon Park Towns,North York
8475,Kenneth & Holmes Urban Townhomes,North York
8390,Lawrence Hill Towns,North York
6819,LSQ Condos,North York
29840,LSQ2 Condos,North York
8336,Lumina at Emerald City,North York
8324,M2M Condos,North York
8320,M2M Squared Condos,North York
8284,Marla On The Park Condos,North York
8254,Metro Park Condos,North York
56126,Montaje Condos,North York
8117,NorthCore Condos,North York
6831,Olive Residences,North York
7971,Pearl 2 Condos,North York
7970,Pearl Place Condos,North York
7944,Plaza On Yonge Condos,North York
7822,Rodeo Drive Condos,North York
7786,Saisons Condos,North York
7731,SIX99 Condos,North York
7558,The Belmont Residences,North York
7470,The Dylan Condos,North York
7400,The Keeley Condos,North York
7332,The Point at Emerald City,North York
7324,The Ravine Condos,North York
7314,The Residences at Central Park,North York
7304,The Riverside Residences,North York
7242,The Vic Towns,North York
58492,The Wedgewood on Yonge Condos,North York
38144,Thirty Tretti Retail,North York
59444,Townhomes At Crosstown,North York
6924,Willowdale Heights,North York
6922,Wilson West Condos,North York
6916,WINLOCK TOWNS at Bayview,North York
6872,Yonge City Square Condos,North York
6862,Yorkwoods Condos,North York
32889,Lily at Crosstown Condos,North York|Toronto
9738,121 East Towns,Oakville
9704,160 Trafalgar,Oakville
9483,627 Lyons Lane Condos,Oakville
9184,Block 55 Townhomes,Oakville
9160,Bower Condos on The Preserve,Oakville
6791,Carding House Condos,Oakville
6835,Clockwork Condos,Oakville
25825,ClockWork Condos 3,Oakville
8993,Creekside Towns,Oakville
8926,Distrikt Trailside Condos,Oakville
8924,Distrikt Trailside Condos 2,Oakville
8904,DunWest Condos,Oakville
25308,Gemini 2 Condos,Oakville
8692,Gemini Condos,Oakville
8674,Glen Ashton Estates,Oakville
8624,Harbour Place Towns,Oakville
47605,Ivy Rouge Homes,Oakville
8229,Minto Oakvillage,Oakville
8127,North Oak Condos,Oakville
8125,North Oak Condos 2,Oakville
8123,North Oak Condos 3,Oakville
8094,Nuvo 2 Condos,Oakville
8092,Nuvo Condos,Oakville
8090,Oak & Co. Condos,Oakville
6726,Oakbrook Towns,Oakville
31321,Oakpointe Townhouse,Oakville
8079,Oakville Ravine Towns,Oakville
8077,Oakville Yards Condos,Oakville
7930,Preserve West,Oakville
7892,RAIN & SENSES CONDOS,Oakville
7745,Shore Club towns,Oakville
7537,The Branch Condos,Oakville
7527,The Bronte Condos,Oakville
7523,The Butler Condos,Oakville
7480,The Deane Condos,Oakville
7422,The Greenwich Condos at Oakvillage,Oakville
7348,The Oakes,Oakville
7330,The Post Condos,Oakville
7326,The Randall Residences,Oakville
7316,The Residences at Bronte Lakeside Condo,Oakville
7288,The Saw Whet Condos,Oakville
7254,The Treasury Town,Oakville
7211,The Wilmot Condos,Oakville
38201,Three Oaks Business Center,Oakville
7169,Trafalgar Ridge,Oakville
7078,Upper Glen Abbey West,Oakville
30010,Upper Joshua Creek Towns,Oakville
7062,Upper West Side Condos,Oakville
7060,Upper West Side Condos 2,Oakville
29628,Views on the Preserve Condos,Oakville
6960,West&Post,Oakville
6920,Windermere Manor Condos,Oakville
8922,Distrikt Trailside Towns,Oakville|Toronto
29513,Babcock Mills Homes,Odessa
8027,Orillia Fresh,Orillia
6626,Sunshine Harbour Towns,Orillia
8894,Eagles Rest Estates,Oro-Medonte
8749,Forest Heights Estates,Oro-Medonte
9060,Charing Cross Condominiums,Oshawa
